singular;plural;gender;english singular;english plural;level;lesson
Arbeitgeber;Arbeitgeber;m;employer;employers;a1.1;2
Ausbildung;Ausbildungen;f;education;educations;a1.1;2
Beruf;Berufe;m;profession;professions;a1.1;2
Hochschule;Hochschulen;f;college;colleges;a1.1;2
Job;Jobs;m;job;jobs;a1.1;2
Praktikum;Praktika;n;internship;internships;a1.1;2
Schule;Schulen;f;school;schools;a1.1;2
Stelle;Stellen;f;place;places;a1.1;2
Architekt;Architekten;m;architect;architect;a1.1;2
Arzt;Ärzte;m;doctor;doctors;a1.1;2
Friseur;Friseure;m;hairdresser;hairdresser;a1.1;2
Ingenieur;Ingenieure;m;engineer;engineers;a1.1;2
Journalist;Journalisten;m;journalist;journalisten;a1.1;2
Kellner;Kellner;m;waiter;waiter;a1.1;2
Krankenschwester;Krankenschwestern;f;nurse;nurses;a1.1;2
Lehrer;Lehrer;m;teacher;teacher;a1.1;2
Mechatroniker;Mechatroniker;m;mechanic;mechanics;a1.1;2
Student;Studenten;m;student;students;a1.1;2
Schauspieler;Schauspieler;m;actor;actors;a1.1;2
Schüler;Schüler;m;pupil;pupils;a1.1;2
Sekretär;Sekretäre;m;secretary;secretarys;a1.1;2
Verkäufer;Verkäufer;m;seller;sellers;a1.1;2
Alter;;n;elder;elders;a1.1;2
Familienstand;;m;marial status;;a1.1;2
Jahr;Jahre;n;year;years;a1.1;2
Kind;Kinder;n;child;children;a1.1;2
Familie;Familien;f;family;families;a1.1;3
Vater;Väter;m;father;fathers;a1.1;3
Mutter;Mütter;f;mother;mothers;a1.1;3
Sohn;Söhne;m;son;sons;a1.1;3
Tochter;Töchter;f;daughter;daughters;a1.1;3
Großvater;Großväter;m;grandfather;grandfathers;a1.1;3
Enkelin;Enkelinnen;f;granddaughter;granddaughter;a1.1;3
Enkel;Enkel;m;grandson;grandsons;a1.1;3
Bruder;Brüder;m;brother;brothers;a1.1;3
Schwester;Schwestern;f;sister;sisters;a1.1;3
Geschwister;Geschwister;f;siblings;siblings;a1.1;3
Bild;Bilder;n;picture;pictures;a1.1;3
Freund;Freunde;m;friend;friends;a1.1;3
Kollege;Kollegen;m;colleague;colleagues;a1.1;3
Partner;Partner;m;partner;partners;a1.1;3
Bett;Betten;n;bed;beds;a1.1;4
Lampe;Lampen;f;lamp;lamps;a1.1;4
Schrank;Schränke;m;cabinet;cabinets;a1.1;4
Sessel;Sessel;m;chair;chair;a1.1;4
Sofa;Sofas;n;sofa;sofa;a1.1;4
Couch ;Couchs;f;couches;couches;a1.1;4
Teppich;Teppiche;m;carpet;carpets;a1.1;4
Tisch;Tische;m;table;tables;a1.1;4
Euro;Euros;m;euro;euros;a1.1;4
Cent;Cents;m;cent;cents;a1.1;4
Preis;Preise;m;price;prices;a1.1;4
Angebot;Angebote;n;offer;offers;a1.1;4
Sonderangebot;Sonderangebot;n;bargain;bargains;a1.1;4
Hilfe;Hilfen;f;servant;servants;a1.1;4
Entwickler;Entwickler;m;developer;developers;a1.1;4
Farbe;Farben;f;color;colors;a1.1;5
Material;Materialien;n;material;materials;a1.1;5
Glas;;n;glass;glass;a1.1;5
Holz;;n;wood;;a1.1;5
Metall;;n;metal;;a1.1;5
Papier;;n;paper;;a1.1;5
Plastik;;n;plastic;;a1.1;5
Bleistift;Blestifte;m;pencil;pencils;a1.1;5
Buch;Bücher;n;book;books;a1.1;5
Feuerzeug;Feuerzeuge;n;lighter;lighters;a1.1;5
Flasche;Flaschen;f;bottle;bottles;a1.1;5
Fotoapparat;Fotoappare;f;camera;cameras;a1.1;5
Geldbörse;Geldbörsen;f;wallet;wallets;a1.1;5
Kette;Ketten;f;chain;chains;a1.1;5
Kugelschreiber;Kugelschreiber;m;pen;pens;a1.1;5
Regenschirm;Regenschirme;m;umbrella;umbrella;a1.1;5
Ring;Ringe;m;ring;rings;a1.1;5
Schlüssel;Schlüssel;m;key;keys;a1.1;5
Seife;Siefen;f;soap;soap;a1.1;5
Streicholz;Streichölzer;n;match;matches;a1.1;5
Tasche;Taschen;f;bag;bags;a1.1;5
Uhr;Uhren;f;hour;hours;a1.1;5
Adresse;Adressen;f;address;addresses;a1.1;5
E-Mail;E-Mails;f;email;emails;a1.1;5
Fax;Faxe;n;fax;faxes;a1.1;5
Geburtsdatum;Geburstdaten;n;birthday;birthdays;a1.1;5
Hausnummer;Hausnummern;f;address;address;a1.1;5
Ort;Orte;m;place;places;a1.1;5
PLZ;PLZen;f;postcode;postcodes;a1.1;5
Straße;Straßen;f;street;streets;a1.1;5
Telefon;Telefone;n;telephone;telephones;a1.1;5
Entschuldigung;Entschuldigungen;f;apology;apologies;a1.1;5
Menge;Mengen;f;amount;amounts;a1.1;5
Problem;Probleme;n;problem;problems;a1.1;5
Produkt;Produkte;n;product;products;a1.1;5
Wort;Wörte;n;word;words;a1.1;5
Wörterbuch;Wörterbücher;n;dictionary;dictionaries;a1.1;5
Arbeitsplatz;Arbeitsplätze;m;workplace;workplaces;a1.1;6
Bildschirm;Bildschirme;m;monitor;monitor;a1.1;6
Briefmarke;Briefmarken;f;stamp;stamps;a1.1;6
Büro;Büros;n;office;offices;a1.1;6
Chef;Chefs;m;boss;bosses;a1.1;6
Computer;Computer;m;computer;computers;a1.1;6
Drucker;Drucker;m;printer;printers;a1.1;6
Firma;Firmen;f;company;companies;a1.1;6
Formular;Formulare;n;formula;formulas;a1.1;6
Handy;Handys;n;cellphone;cellphone;a1.1;6
Kalender;Kalender;m;calendar;calendars;a1.1;6
Laptop;Laptops;m;laptop;laptops;a1.1;6
Maus;Mäuse;f;mouse;mice;a1.1;6
Notizbuch;Notizbücher;n;notebook;notebooks;a1.1;6
Rechnung;Rechnungen;f;bill;bills;a1.1;6
SMS;SMS;f;sms;sms;a1.1;6
Stift;Stifte;m;pen;pens;a1.1;6
Termin;Termine;m;appoinment;appointments;a1.1;6
Foto;Fotos;n;photo;photos;a1.1;6
Gruß;Grüße;m;greeting;greetings;a1.1;6
See;Seen;m;lake;lakes;a1.1;6
Stress;;m;stress;;a1.1;6
Telefonnummer;Telefonnummern;f;phone number ;phone numbers;a1.1;6
Zeit;;f;time;;a1.1;6
Ausflug;Ausflüge;m;trip;trips;a1.1;7
Film;Filme;m;film;films;a1.1;7
Freizeit;;f;;;a1.1;7
Hobby;Hobbys;n;hobby;hobbys;a1.1;7
Kino;Kinos;n;cinema;cinemas;a1.1;7
Musik;;f;music;;a1.1;7
Auto;Autos;n;cars;cars;a1.1;7
Gespräch;Gespräche;n;conversation;conversations;a1.1;7
Internet;;n;internet;;a1.1;7
Natur;;f;nature;;a1.1;7
Ausstellung;Ausstellungen;f;exhibition;exhibitions;a1.1;8
Bar;Bars;f;bar ;bar;a1.1;8
Cafe;Cafes;n;cafe;cafe;a1.1;8
Disco;Discos;f;disco;disco;a1.1;8
Kneipe;Kneipen;f;pub;pub;a1.1;8
Konzert;Konzerte;n;concert;concerts;a1.1;8
Museum;Museen;n;museum;museums;a1.1;8
Restaurant;Restaurants;n;restaurant;restaurant;a1.1;8
Schwimmbad;Shwimmbäder;n;pool;pool;a1.1;8
Theater;Theater;n;theater;theaters;a1.1;8
Morgen;Morgen;m;morning;mornings;a1.1;8
Vormittag;Vormittage;m;mid-morning;mid-mornings;a1.1;8
Mittag;Mitagge;m;noon;noons;a1.1;8
Nachmittag;Nachmittage;m;afternoon;afternoons;a1.1;8
Abend;Abende;m;evening;evenings;a1.1;8
Nacht;Nächte;f;night;nights;a1.1;8
Tag;Tage;m;day;day;a1.1;8
Woche;Wochen;f;week;weeks;a1.1;8
Montag;Montage;m;Monday;Mondays;a1.1;8
Dienstag;Dienstage;m;Tuesday;Tuesdays;a1.1;8
Mittwoch;Mittwoche;m;Wednesday;Wednesdays;a1.1;8
Donnerstag;Donnerstage;m;Thursday;Thursdays;a1.1;8
Freitag;Freitage;m;Friday;Fridays;a1.1;8
Samstag;Samstage;m;Saturday;Saturdays;a1.1;8
Sonntag;Sonntage;m;Sunday;Sundays;a1.1;8
Essen;Essen;n;food;food;a1.1;8
Fernsehen;;n;television;;a1.1;8
Kaffee;;m;coffee;;a1.1;8
Radio;Radioe;n;radio;radios;a1.1;8
Apfel;Äpfel;m;apple;apples;a1.1;9
Braten;Braten;m;roast;roast;a1.1;9
Brötchen;Brötchen;n;bun;buns;a1.1;9
Butter;;f;butter;;a1.1;9
Brot;Brote;n;bread;bread;a1.1;9
Ei;Eier;n;egg;eggs;a1.1;9
Eis;;n;ice cream;;a1.1;9
Fisch;Fische;m;fish;fish;a1.1;9
Fleisch;;n;meat;;a1.1;9
Käse;;m;cheese;;a1.1;9
Kartoffel;Kartoffeln;f;potato;potatoes;a1.1;9
Kuchen;Kuchen;m;cake;cakes;a1.1;9
Milch;;f;milk;;a1.1;9
Obst;;n;fruit;;a1.1;9
Orange;Orangen;f;orange;oranges;a1.1;9
Reis;;m;rice;;a1.1;9
Sahne;;f;cream;;a1.1;9
Salat;Salate;m;salad;salads;a1.1;9
Schinken;;m;ham;;a1.1;9
Schokolade;Schokoladen;f;chocolate;chocolates;a1.1;9
Suppe;Suppen ;f;soup;soups;a1.1;9
Tee;Tees;m;tea;teas;a1.1;9
Tomate;Tomaten;f;tomato;tomatoes;a1.1;9
Wurst;Würste;f;sausage;sausages;a1.1;9
Zitrone;Zitronen;f;lemon;lemons;a1.1;9
Zwiebel;Zwiebeln;f;onion;onions;a1.1;9
Durst;;m;thirst;;a1.1;9
Frühstuck;Frühstucke;n;breakfast;breakfast;a1.1;9
Hunger;;m;hunger;;a1.1;9
Kühlschrank;Kühlschränke;m;fridge;fridges;a1.1;9
Bahnhof;Bahnhöfe;m;train station;train stations;a1.1;10
Bahnsteig;Bahnsteige;m;platform;platform;a1.1;10
Bus;Busse;m;bus;busses;a1.1;10
Halt;Halte;m;stop;stops;a1.1;10
Haltestelle;Haltestellen;f;stop;stop;;10
Flughafen;Flughäfen;m;airport;airports;;10
Flugzeug;Flugzeuge;n;plane;planes;;10
Gepäck;;n;luggage;;;10
Gleis;Gleise;n;track;tracks;;10
Koffer;Koffer;m;suitcase;suitcases;;10
S-Bahn;S-Bahnen;f;s-bahn;s-bahns;;10
Straßenbahn;Straßenbahnen;f;tram;trams;;10
Taxi;Taxis;n;taxi;taxis;;10
U-Bahn;U-Bahnen;f;u-bahn;u-bahns;;10
Verkehrsmittel;Verkehrsmittel;n;transport;transport;;10
Zug;Züge;m;train;trains;;10
Minute;Minuten;f;minute;minutes;;10
Vorsicht;;f;attention;attention;;10
Haus;Häuser;n;house;houses;a1.2;14
Wohnung;Wohnungen;f;apartment;apartments;a1.2;14
Balkon;Balkone;m;balcony;balconies;a1.2;14
Baum;Bäumë;m;tree;trees;a1.2;14
Blume;Blumen;f;flower;flowers;a1.2;14
Erdgeschoss;Erdgeschosse;n;ground floor;ground floors;a1.2;14
Fenster;Fenster;n;window;windows;a1.2;14
Garage;Garagen;f;garage ;garages;a1.2;14
Garten;Gärten;m;garden;gardens;a1.2;14
Keller;Keller;m;cellar;cellar;a1.2;14
Licht;Lichter;n;light;lights;a1.2;14
Miete;Mieten;f;rent;rent;a1.2;14
Müll;;m;garbage;garbage;a1.2;14
Nachbar;Nachbarn;m;neighbour;neighbours;a1.2;14
Quadratmeter;;m;square meters;;a1.2;14
Stock;Stockwerke;m;floor;floors;a1.2;14
Treppe;Treppen;f;stairs;stairs;a1.2;14
Vermieter;Vermieter;m;landlord;landlord;a1.2;14
Wasser;;n;water;;a1.2;14
Flur;Flure;m;hall;halls;a1.2;14
Kinderzimmer;;n;nursery;;a1.2;14
Küche;Küchen;f;kitchen;kitchens;a1.2;14
Schlafzimmer;Schlafzimmer;n;bedroom;bedrooms;a1.2;14
Toilette;Toiletten;f;bathroom;bathrooms;a1.2;14
Wohnzimmer;Wohnzimmer;n;living room;living rooms;a1.2;14
Zimmer;Zimmer;n;room;rooms;a1.2;14
Berg;berge;m;mountain;mountains;a1.2;14
Fluss;Flüsse;m;river;rivers;a1.2;14
Meer;Meere;n;sea;seas;a1.2;14
Wald;Wälder;m;forest;forests;a1.2;14
Anzeige;Anzeigen;f;display ;displays;a1.2;14
Fabrik;Fabriken;f;factory;factories;a1.2;14
Stadt;Städte;f;city;cities;a1.2;14
Zelt;Zelte;n;tent;tents;a1.2;14
Arbeitszimmer;Arbeitzimmer;n;workroom;workroom;a1.2;14
Bad;Bäder;n;bath;baths;a1.2;14
Arbeit;Arbeiten;f;work;work;a1.1;11
Hausaufgabe;Hausaufgaben;f;homework;homework;a1.1;11
Pause;Pausen;f;break;breaks;a1.1;11
Zeitung;Zeitungen;f;newspaper;newspaper;a1.1;11
Baby;Babys;n;baby;babies;a1.1;11
Fahrrad;Fahrräder;n;bike;bikes;a1.1;11
Geschenk;Geschenke;n;gift;gifts;a1.1;11
Monat;Monate;m;month;months;a1.1;11
Paar;Paare;n;couple;couples;a1.1;11
Party;Partys;f;party;parties;a1.1;11
Reise;Reisen;f;trip;trips;a1.1;11
Sport;;m;sports;;a1.1;11
Wein;Weine;m;wine;wines;a1.1;11
Ding;Dinge;n;thing;things;a2.1;2
Ecke;Ecken;f;corner;corners;a2.1;2
Fernsehgerät;Fernsehgeräte;n;tv;tvs;a2.1;2
Gegenstand;Gegenstände;m;object;objects;a2.1;2
Herd;Herde;m;stove;stoves;a2.1;2
Kissen;Kissen;n;pillow;pillows;a2.1;2
Raum;Räume;m;room;rooms;a2.1;2
Regal;Regale;n;shelf;shelves;a2.1;2
Schreibtisch;Schreibtische;m;writing desk;writing desks;a2.1;2
Spiegel;Spiegel;m;mirror;mirrors;a2.1;2
Tür;Türen;f;door;doors;a2.1;2
Vorhang;Vorhänge;m;curtain;curtains;a2.1;2
Wand;Wände;f;wall;walls;a2.1;2
Werkzeug;Werkzeuge;n;tool;tools;a2.1;2
Heft;Hefte;n;notebook;notebooks;a2.1;2
Souvenir;Souvenirs;n;souvenir;souvenir;a2.1;2
Cousin;Cousins;m;cousin;cousins;a2.1;1
Cousine;Cousinen;f;cousin;cousins;a2.1;1
Neffe;Neffen;m;nephew;nephews;a2.1;1
Nichte;Nichten;f;neice;neices;a2.1;1
Onkel;Onkel;m;uncle;uncles;a2.1;1
Tante;Tanten;f;aunt;aunts;a2.1;1
Geschichte;Geschichten;f;story;stories;a2.1;1
Jugendliche;Jungendlichen;m;youth;youths;a2.1;1
Puppe;Puppen;f;doll;dolls;a2.1;1
Sache;Sachen;f;stuff;stuff;a2.1;1
Spiel;Spiele;n;game;games;a2.1;1
Anfang;Anfänge;m;beginning;beginnings;a2.1;1
Ende;Enden;n;end;ends;a2.1;1
Mannschaft;Mannschaften;f;team;teams;a2.1;1
Pfeffer;;m;pepper;;a2.1;1
Punkt;Punkte;m;point;points;a2.1;1
Satz;Sätze;m;sentence;sentences;a2.1;1
Schluss;;m;ending;;a2.1;1
Studium;;n;education;;a2.1;1
Zigarette;Zigaretten;f;cigarette;cigarettes;a2.1;1
Frühling;Frühlinge;m;spring;springs;a1.1;12
Sommer;Sommer;m;summer;summer;a1.1;12
Herbst;Herbste;m;fall;falls;a1.1;12
Winter;Winter;m;winter;winters;a1.1;12
Januar;Januare;m;January;Januaries;a1.1;12
Februar;Februare;m;February;Februaries;a1.1;12
März;Märze;m;March;Marches;a1.1;12
April;Aprile;m;April;Aprils;a1.1;12
Mai;Maie;m;May;Mays;a1.1;12
Juni;Junis;m;June;Junes;a1.1;12
Juli;Julis;m;July;Julys;a1.1;12
August;Auguste;m;August;Augusts;a1.1;12
September;September;m;September;Septembers;a1.1;12
Oktober;Oktober;m;October;Octobers;a1.1;12
November;November;m;November;Novembers;a1.1;12
Fest;Feste;n;party;parties;a1.1;12
Hochzeit;Hochzeiten;f;wedding;weddings;a1.1;12
Karneval;;m;carnival;;a1.1;12
Neujahr;Neujahre;f;New Year’s;New Years’;a1.1;12
Silvester;Silvester;n;New Year’s Eve;New Year’s Eves;a1.1;12
Bier;Biere;n;beer;beer;a1.1;12
Person;Personen;f;person;people;a1.1;12