word;en_US;level;chapter;question;type;
gestern;yesterday;a1.1;12;;adverb;
ja;yesterday;a1.1;3;;particle;
nein;no;a1.1;3;;particle;
doch;on the contrary;a1.1;3;;adverb;
bisschen;bit;a1.1;3;;noun;
bitte;please,pardon;a1.1;3;;noun;
genau;exactly;a1.1;3;;adverb;
mein;my;a1.1;3;1;pos pro;
dein;your;a1.1;3;1;pos pro;
hinten;behind;a1.2;14;1;adverb;
oben;above;a1.2;14;1;adverb;
unten;below;a1.2;14;1;adverb;
vorn;in front of;a1.2;14;1;adverb;
gemütlich;cozy;a1.2;14;;adjective;
leer;empty;a1.2;14;;adjective;
möbliert;furnished;a1.2;14;;adjective;
links;left;a1.2;13;;adverb;
rechts;right;a1.2;13;;adverb;
fremd;foreign;a1.2;13;;adjective;
nett;nice;a1.2;13;;adjective;
beide;both;a1.2;13;;adjective;
an;to, against, on, by;a1.2;13;;preposition;
auf;on, to, in, upon;a1.2;13;;preposition;
hinter;behind;a1.2;13;;preposition;
in;in ;a1.2;13;;preposition;
neben;beside;a1.2;13;;preposition;
über;over;a1.2;13;;preposition;
unter;under;a1.2;13;;preposition;
vor;in front;a1.2;13;;preposition;
zwischen;between;a1.2;13;;preposition;